,PMT Location,Top/Bottom,ADC (crate.slot.channel),0vbb ADC (crate.slot.channel),DM ADC ID,0vbb ADC ID,Amp (crate.slot.channel),Cable number sum signal,Linear Fan,x,y
138,168,top,0.14.2,2.8.1,1187,110.0,0.7.2,,,62.4388,-12.0163
139,139,top,1.3.6,2.15.4,1219,127.0,0.11.6,,,27.7506,-8.0109
140,140,top,1.4.6,2.15.7,749,127.0,0.11.14,,,20.8129,-4.00545
141,141,top,1.2.7,2.13.7,1440,117.0,0.10.15,,,13.8753,3.6224300000000007e-06
142,142,top,1.3.7,2.15.1,1219,127.0,0.11.7,,,6.937639999999999,4.00545
143,143,top,1.4.7,2.15.3,749,127.0,0.11.15,,,2.09141e-06,8.0109
144,144,top,1.6.6,2.17.0,1351,147.0,1.0.6,,,-6.937639999999999,12.0164
145,145,top,1.7.6,2.19.1,1272,1402.0,1.1.6,,,-13.8753,16.0218
146,146,top,1.6.7,2.17.5,1351,147.0,1.0.7,,,-20.8129,20.0273
147,147,top,1.5.6,2.17.7,1349,147.0,1.0.14,,,-27.7506,24.0327
148,148,top,0.6.0,1.19.1,1242,1368.0,0.3.0,,,-34.6882,28.0382
149,149,top,0.4.7,1.18.4,1246,1372.0,0.2.7,,,-41.6259,32.0436
150,150,top,0.5.7,1.17.5,1239,1328.0,0.2.15,,,-48.5635,36.0491
151,169,top,0.12.2,2.5.1,1250,171.0,0.6.2,,,55.5011,-8.01089
152,170,top,0.13.3,2.5.3,1254,171.0,0.6.11,,,48.5635,-4.00544
153,171,top,0.14.3,2.7.0,1187,1092.0,0.7.3,,,41.6259,1.08673e-05
154,172,top,0.12.3,2.5.2,1250,171.0,0.6.3,,,34.6882,4.00546
155,137,top,0.13.4,2.5.7,1254,171.0,0.6.12,,,41.6259,-16.0218
156,206,top,1.8.1,3.0.0,1348,991.0,1.1.8,,,13.8753,32.0436
157,205,top,1.9.0,3.1.0,1284,1311.0,1.2.0,,,20.8129,28.0382
158,204,top,1.10.1,3.2.0,1270,1369.0,1.2.8,,,27.7506,24.0327
159,203,top,1.8.0,3.0.1,1348,991.0,1.1.9,,,34.6882,20.0273
160,194,top,1.9.1,3.1.1,1284,1311.0,1.2.1,,,-6.93763,36.0491
161,193,top,1.10.0,3.2.1,1270,1369.0,1.2.9,,,8.36565e-06,32.0436
162,162,top,1.5.7,2.17.4,1349,147.0,1.0.15,,,-13.8753,24.0327
163,163,top,1.7.7,2.19.4,1272,1402.0,1.1.7,,,-20.8129,28.0382
164,164,top,0.7.0,1.20.4,1258,162.0,0.3.8,,,-27.7506,32.0436
165,165,top,0.8.0,2.1.0,1237,1366.0,0.4.0,,,-34.6882,36.0491
166,166,top,0.6.1,1.19.3,1242,1368.0,0.3.1,,,-41.6259,40.0545
167,167,top,0.7.1,1.19.5,1258,1368.0,0.3.9,,,-48.5635,44.06
168,138,top,0.14.4,2.7.2,1187,1092.0,0.7.4,,,34.6882,-12.0163
169,151,top,0.12.4,2.5.0,1250,171.0,0.6.4,,,62.4388,-20.0272
170,152,top,0.13.5,2.5.6,1254,171.0,0.6.13,,,55.5011,-16.0218
171,153,top,0.14.5,2.8.4,1187,110.0,0.7.5,,,48.5635,-12.0163
172,154,top,0.12.5,2.5.5,1250,171.0,0.6.5,,,41.6259,-8.01089
173,192,top,1.10.3,3.2.2,1270,1369.0,1.2.10,,,6.93765,28.0382
174,191,top,1.8.2,3.0.2,1348,991.0,1.1.10,,,13.8753,24.0327
175,190,top,1.9.2,3.1.2,1284,1311.0,1.2.2,,,20.8129,20.0273
176,189,top,1.10.2,3.2.3,1270,1369.0,1.2.11,,,27.7506,16.0218
177,188,top,1.8.3,3.0.3,1348,991.0,1.1.11,,,34.6882,12.0164
178,179,top,1.9.3,3.1.3,1284,1311.0,1.2.3,,,-13.8753,32.0436
179,178,top,1.10.5,3.2.4,1270,1369.0,1.2.12,,,-6.937639999999999,28.0382
180,180,top,0.8.2,2.2.2,1237,1324.0,0.4.2,,,-20.8129,36.0491
181,181,top,0.6.2,1.20.0,1242,162.0,0.3.2,,,-27.7506,40.0545
182,182,top,0.7.2,1.20.1,1258,162.0,0.3.10,,,-34.6882,44.06
183,183,top,0.8.1,2.2.0,1237,1324.0,0.4.1,,,-41.6259,48.0654
184,118,top,0.13.6,2.6.7,1254,108.0,0.6.14,,,55.5011,-32.0436
185,119,top,0.14.6,2.7.4,1187,1092.0,0.7.6,,,48.5635,-28.0382
186,120,top,0.12.6,2.6.3,1250,108.0,0.6.6,,,41.6259,-24.0327
187,121,top,0.13.7,2.6.1,1254,108.0,0.6.15,,,34.6882,-20.0273
188,177,top,1.8.4,3.0.4,1348,991.0,1.1.12,,,6.27423e-06,24.0327
189,176,top,1.9.4,3.1.4,1284,1311.0,1.2.4,,,6.93765,20.0273
190,175,top,1.10.4,3.2.5,1270,1369.0,1.2.13,,,13.8753,16.0218
191,174,top,1.8.5,3.0.5,1348,991.0,1.1.13,,,20.8129,12.0164
192,173,top,1.9.5,3.1.5,1284,1311.0,1.2.5,,,27.7506,8.01091
193,161,top,1.10.6,3.2.6,1270,1369.0,1.2.14,,,-6.937639999999999,20.0273
194,160,top,1.8.6,3.0.6,1348,991.0,1.1.14,,,4.18282e-06,16.0218
195,195,top,0.6.3,1.19.4,1242,1368.0,0.3.3,,,-13.8753,40.0545
196,196,top,0.7.3,1.20.2,1258,162.0,0.3.11,,,-20.8129,44.06
197,197,top,0.8.3,2.2.4,1237,1324.0,0.4.3,,,-27.7506,48.0654
198,198,top,0.6.4,1.20.6,1242,162.0,0.3.4,,,-34.6882,52.0709
199,135,top,0.14.7,2.8.2,1187,110.0,0.7.7,,,55.5011,-24.0327
200,136,top,0.12.7,2.6.2,1250,108.0,0.6.7,,,48.5635,-20.0272
201,201,top,1.11.0,3.3.0,1329,1353.0,1.3.0,,,48.5635,12.0164
202,202,top,1.11.1,3.3.1,1329,1353.0,1.3.1,,,41.6259,16.0218
